Date,RevenueCenterName,MealPeriod,CheckTotal
2023-01-01,RevenueCenter_1,Breakfast,1499.4
2023-01-01,RevenueCenter_1,Dinner,4374.5
2023-01-01,RevenueCenter_1,Lunch,1260.0
2023-01-02,RevenueCenter_1,Breakfast,771.0
2023-01-02,RevenueCenter_1,Dinner,3460.0
2023-01-02,RevenueCenter_1,Lunch,1042.0
2023-01-03,RevenueCenter_1,Breakfast,1302.4
2023-01-03,RevenueCenter_1,Dinner,2735.9
2023-01-03,RevenueCenter_1,Lunch,826.0
2023-01-04,RevenueCenter_1,Breakfast,1737.0
2023-01-04,RevenueCenter_1,Dinner,3829.0
2023-01-04,RevenueCenter_1,Lunch,712.0
2023-01-05,RevenueCenter_1,Breakfast,653.0
2023-01-05,RevenueCenter_1,Dinner,3868.0
2023-01-05,RevenueCenter_1,Lunch,1162.0
2023-01-06,RevenueCenter_1,Breakfast,1204.4
2023-01-06,RevenueCenter_1,Dinner,3124.5
2023-01-06,RevenueCenter_1,Lunch,1285.0
2023-01-07,RevenueCenter_1,Breakfast,1172.0
2023-01-07,RevenueCenter_1,Dinner,1967.5
2023-01-07,RevenueCenter_1,Lunch,1111.0
2023-01-08,RevenueCenter_1,Breakfast,1139.0
2023-01-08,RevenueCenter_1,Dinner,2210.9
2023-01-08,RevenueCenter_1,Lunch,543.0
2023-01-09,RevenueCenter_1,Breakfast,300.0
2023-01-09,RevenueCenter_1,Dinner,2414.0
2023-01-09,RevenueCenter_1,Lunch,232.0
2023-01-10,RevenueCenter_1,Breakfast,740.0
2023-01-10,RevenueCenter_1,Dinner,1632.5
2023-01-10,RevenueCenter_1,Lunch,1139.0
2023-01-11,RevenueCenter_1,Breakfast,485.0
2023-01-11,RevenueCenter_1,Dinner,2458.75
2023-01-11,RevenueCenter_1,Lunch,370.0
2023-01-12,RevenueCenter_1,Breakfast,1208.0
2023-01-12,RevenueCenter_1,Dinner,2038.5
2023-01-12,RevenueCenter_1,Lunch,414.0
2023-01-13,RevenueCenter_1,Breakfast,1278.0
2023-01-13,RevenueCenter_1,Dinner,1326.3
2023-01-13,RevenueCenter_1,Lunch,642.0
2023-01-14,RevenueCenter_1,Breakfast,628.0
2023-01-14,RevenueCenter_1,Dinner,1780.0
2023-01-14,RevenueCenter_1,Lunch,240.0
2023-01-15,RevenueCenter_1,Breakfast,1220.0
2023-01-15,RevenueCenter_1,Dinner,2318.0
2023-01-15,RevenueCenter_1,Lunch,354.8
2023-01-16,RevenueCenter_1,Breakfast,420.0
2023-01-16,RevenueCenter_1,Dinner,2396.0
2023-01-16,RevenueCenter_1,Lunch,284.0
2023-01-17,RevenueCenter_1,Breakfast,330.0
2023-01-17,RevenueCenter_1,Dinner,1672.5
2023-01-17,RevenueCenter_1,Lunch,496.0
2023-01-18,RevenueCenter_1,Breakfast,1157.0
2023-01-18,RevenueCenter_1,Dinner,1363.5
2023-01-18,RevenueCenter_1,Lunch,694.0
2023-01-19,RevenueCenter_1,Breakfast,447.8
2023-01-19,RevenueCenter_1,Dinner,1342.0
2023-01-19,RevenueCenter_1,Lunch,280.0
2023-01-20,RevenueCenter_1,Breakfast,874.0
2023-01-20,RevenueCenter_1,Dinner,1337.5
2023-01-20,RevenueCenter_1,Lunch,524.0
2023-01-21,RevenueCenter_1,Breakfast,674.0
2023-01-21,RevenueCenter_1,Dinner,1693.0
2023-01-21,RevenueCenter_1,Lunch,1677.0
2023-01-22,RevenueCenter_1,Breakfast,1131.0
2023-01-22,RevenueCenter_1,Dinner,2144.0
2023-01-22,RevenueCenter_1,Lunch,889.0
2023-01-23,RevenueCenter_1,Breakfast,208.0
2023-01-23,RevenueCenter_1,Dinner,4238.0
2023-01-23,RevenueCenter_1,Lunch,895.5
2023-01-24,RevenueCenter_1,Breakfast,374.0
2023-01-24,RevenueCenter_1,Dinner,1794.0
