Date,MealPeriod,CheckTotal,RevenueCenterName,MealPeriod_num,Year,Month,DayOfWeek,IslamicPeriod_num,IsNewYear,IsPreRamadan,IsPreEvent,IsLast10Ramadan,is_zero,IsSummerEvent,IsMarathon,IsFoodFestival,IsDSF,IsRamadan,RevenueCenter
2023-01-01,Breakfast,1499.4,RevenueCenter_1,0,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,1
2023-01-01,Dinner,4374.5,RevenueCenter_1,1,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,1
2023-01-01,Lunch,1260.0,RevenueCenter_1,2,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,1
2023-01-01,Breakfast,35.0,RevenueCenter_2,0,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,2
2023-01-01,Dinner,407.0,RevenueCenter_2,1,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,2
2023-01-01,Lunch,30.0,RevenueCenter_2,2,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,2
2023-01-01,Breakfast,0.0,RevenueCenter_3,0,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,3
2023-01-01,Dinner,9441.9,RevenueCenter_3,1,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,3
2023-01-01,Lunch,763.0,RevenueCenter_3,2,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,3
2023-01-01,Breakfast,0.0,RevenueCenter_4,0,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,4
2023-01-01,Dinner,0.0,RevenueCenter_4,1,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,4
2023-01-01,Lunch,0.0,RevenueCenter_4,2,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,4
2023-01-01,Breakfast,21807.0,RevenueCenter_5,0,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,5
2023-01-01,Dinner,4395.0,RevenueCenter_5,1,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,5
2023-01-01,Lunch,415.0,RevenueCenter_5,2,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,5
2023-01-01,Breakfast,93.0,RevenueCenter_6,0,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,6
2023-01-01,Dinner,1166.0,RevenueCenter_6,1,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,6
2023-01-01,Lunch,1446.0,RevenueCenter_6,2,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,6
2023-01-01,Breakfast,0.0,RevenueCenter_7,0,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,7
2023-01-01,Dinner,0.0,RevenueCenter_7,1,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,7
2023-01-01,Lunch,0.0,RevenueCenter_7,2,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,7
2023-01-01,Breakfast,0.0,RevenueCenter_8,0,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,8
2023-01-01,Dinner,23000.0,RevenueCenter_8,1,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,8
2023-01-01,Lunch,0.0,RevenueCenter_8,2,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,8
2023-01-01,Breakfast,0.0,RevenueCenter_9,0,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,9
2023-01-01,Dinner,0.0,RevenueCenter_9,1,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,9
2023-01-01,Lunch,605.0,RevenueCenter_9,2,2023,1,6,8,1,0,0,0,0,0,0,0,0,0,9
2023-01-02,Breakfast,771.0,RevenueCenter_1,0,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,1
2023-01-02,Dinner,3460.0,RevenueCenter_1,1,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,1
2023-01-02,Lunch,1042.0,RevenueCenter_1,2,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,1
2023-01-02,Breakfast,608.5,RevenueCenter_2,0,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-02,Dinner,398.5,RevenueCenter_2,1,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-02,Lunch,136.0,RevenueCenter_2,2,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-02,Breakfast,397.0,RevenueCenter_3,0,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,3
2023-01-02,Dinner,13231.9,RevenueCenter_3,1,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,3
2023-01-02,Lunch,546.0,RevenueCenter_3,2,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,3
2023-01-02,Breakfast,0.0,RevenueCenter_4,0,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,4
2023-01-02,Dinner,0.0,RevenueCenter_4,1,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,4
2023-01-02,Lunch,0.0,RevenueCenter_4,2,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,4
2023-01-02,Breakfast,20060.0,RevenueCenter_5,0,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,5
2023-01-02,Dinner,2958.0,RevenueCenter_5,1,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,5
2023-01-02,Lunch,575.0,RevenueCenter_5,2,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,5
2023-01-02,Breakfast,0.0,RevenueCenter_6,0,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,6
2023-01-02,Dinner,629.5,RevenueCenter_6,1,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,6
2023-01-02,Lunch,892.0,RevenueCenter_6,2,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,6
2023-01-02,Breakfast,17.0,RevenueCenter_7,0,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,7
2023-01-02,Dinner,0.0,RevenueCenter_7,1,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,7
2023-01-02,Lunch,164.0,RevenueCenter_7,2,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,7
2023-01-02,Breakfast,0.0,RevenueCenter_8,0,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,8
2023-01-02,Dinner,0.0,RevenueCenter_8,1,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,8
2023-01-02,Lunch,0.0,RevenueCenter_8,2,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,8
2023-01-02,Breakfast,0.0,RevenueCenter_9,0,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,9
2023-01-02,Dinner,0.0,RevenueCenter_9,1,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,9
2023-01-02,Lunch,405.0,RevenueCenter_9,2,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,9
2023-01-03,Breakfast,1302.4,RevenueCenter_1,0,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,1
2023-01-03,Dinner,2735.9,RevenueCenter_1,1,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,1
2023-01-03,Lunch,826.0,RevenueCenter_1,2,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,1
2023-01-03,Breakfast,234.0,RevenueCenter_2,0,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-03,Dinner,70.0,RevenueCenter_2,1,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,2
2023-01-03,Lunch,594.0,RevenueCenter_2,2,2023,1,1,15,1,0,0,0,0,0,0,0,0,0,2
