Date,MealPeriod,CheckTotal,RevenueCenterName,MealPeriod_num,Year,Month,DayOfWeek,IslamicPeriod_num,IsNewYear,IsPreRamadan,IsPreEvent,IsLast10Ramadan,is_zero,IsSummerEvent,IsMarathon,IsFoodFestival,IsDSF,IsRamadan,RevenueCenter
2023-01-01,Breakfast,0.0,RevenueCenter_7,0,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,7
2023-01-01,Dinner,0.0,RevenueCenter_7,1,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,7
2023-01-01,Lunch,0.0,RevenueCenter_7,2,2023,1,6,8,1,0,0,0,1,0,0,0,0,0,7
2023-01-02,Breakfast,17.0,RevenueCenter_7,0,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,7
2023-01-02,Dinner,0.0,RevenueCenter_7,1,2023,1,0,15,1,0,0,0,1,0,0,0,0,0,7
2023-01-02,Lunch,164.0,RevenueCenter_7,2,2023,1,0,15,1,0,0,0,0,0,0,0,0,0,7
2023-01-03,Breakfast,0.0,RevenueCenter_7,0,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,7
2023-01-03,Dinner,0.0,RevenueCenter_7,1,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,7
2023-01-03,Lunch,0.0,RevenueCenter_7,2,2023,1,1,15,1,0,0,0,1,0,0,0,0,0,7
2023-01-04,Breakfast,626.0,RevenueCenter_7,0,2023,1,2,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-04,Dinner,0.0,RevenueCenter_7,1,2023,1,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-04,Lunch,0.0,RevenueCenter_7,2,2023,1,2,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-05,Breakfast,86.0,RevenueCenter_7,0,2023,1,3,9,0,0,0,0,0,0,0,0,0,0,7
2023-01-05,Dinner,0.0,RevenueCenter_7,1,2023,1,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-05,Lunch,0.0,RevenueCenter_7,2,2023,1,3,9,0,0,0,0,1,0,0,0,0,0,7
2023-01-06,Breakfast,308.0,RevenueCenter_7,0,2023,1,4,23,0,0,1,0,0,0,1,0,0,0,7
2023-01-06,Dinner,0.0,RevenueCenter_7,1,2023,1,4,23,0,0,1,0,1,0,1,0,0,0,7
2023-01-06,Lunch,0.0,RevenueCenter_7,2,2023,1,4,23,0,0,1,0,1,0,1,0,0,0,7
2023-01-07,Breakfast,0.0,RevenueCenter_7,0,2023,1,5,23,0,0,1,0,1,0,1,0,0,0,7
2023-01-07,Dinner,0.0,RevenueCenter_7,1,2023,1,5,23,0,0,1,0,1,0,1,0,0,0,7
2023-01-07,Lunch,306.0,RevenueCenter_7,2,2023,1,5,23,0,0,1,0,0,0,1,0,0,0,7
2023-01-08,Breakfast,0.0,RevenueCenter_7,0,2023,1,6,2,0,0,0,0,1,0,1,0,0,0,7
2023-01-08,Dinner,0.0,RevenueCenter_7,1,2023,1,6,2,0,0,0,0,1,0,1,0,0,0,7
2023-01-08,Lunch,0.0,RevenueCenter_7,2,2023,1,6,2,0,0,0,0,1,0,1,0,0,0,7
2023-01-09,Breakfast,0.0,RevenueCenter_7,0,2023,1,0,11,0,0,0,0,1,0,1,0,0,0,7
2023-01-09,Dinner,0.0,RevenueCenter_7,1,2023,1,0,11,0,0,0,0,1,0,1,0,0,0,7
2023-01-09,Lunch,0.0,RevenueCenter_7,2,2023,1,0,11,0,0,0,0,1,0,1,0,0,0,7
2023-01-10,Breakfast,0.0,RevenueCenter_7,0,2023,1,1,11,0,0,0,0,1,0,1,0,0,0,7
2023-01-10,Dinner,0.0,RevenueCenter_7,1,2023,1,1,11,0,0,0,0,1,0,1,0,0,0,7
2023-01-10,Lunch,0.0,RevenueCenter_7,2,2023,1,1,11,0,0,0,0,1,0,1,0,0,0,7
