Date,MealPeriod,RevenueCenterName,TotalCheckAmount
2023-01-01,BreakFast,RevenueCenter_1,1499.4
2023-01-01,BreakFast,RevenueCenter_2,35.0
2023-01-01,BreakFast,RevenueCenter_3,0.0
2023-01-01,BreakFast,RevenueCenter_4,0.0
2023-01-01,BreakFast,RevenueCenter_5,21807.0
2023-01-01,BreakFast,RevenueCenter_6,93.0
2023-01-01,BreakFast,RevenueCenter_7,0.0
2023-01-01,BreakFast,RevenueCenter_8,0.0
2023-01-01,BreakFast,RevenueCenter_9,0.0
2023-01-01,Dinner,RevenueCenter_1,4374.5
2023-01-01,Dinner,RevenueCenter_2,407.0
2023-01-01,Dinner,RevenueCenter_3,9441.9
2023-01-01,Dinner,RevenueCenter_4,0.0
2023-01-01,Dinner,RevenueCenter_5,4395.0
2023-01-01,Dinner,RevenueCenter_6,1166.0
2023-01-01,Dinner,RevenueCenter_7,0.0
2023-01-01,Dinner,RevenueCenter_8,23000.0
2023-01-01,Dinner,RevenueCenter_9,0.0
2023-01-01,Lunch,RevenueCenter_1,1260.0
2023-01-01,Lunch,RevenueCenter_2,30.0
2023-01-01,Lunch,RevenueCenter_3,763.0
2023-01-01,Lunch,RevenueCenter_4,0.0
2023-01-01,Lunch,RevenueCenter_5,415.0
2023-01-01,Lunch,RevenueCenter_6,1446.0
2023-01-01,Lunch,RevenueCenter_7,0.0
2023-01-01,Lunch,RevenueCenter_8,0.0
2023-01-01,Lunch,RevenueCenter_9,605.0
2023-01-02,BreakFast,RevenueCenter_1,771.0
2023-01-02,BreakFast,RevenueCenter_2,608.5
2023-01-02,BreakFast,RevenueCenter_3,397.0
2023-01-02,BreakFast,RevenueCenter_4,0.0
2023-01-02,BreakFast,RevenueCenter_5,20060.0
2023-01-02,BreakFast,RevenueCenter_6,0.0
2023-01-02,BreakFast,RevenueCenter_7,17.0
2023-01-02,BreakFast,RevenueCenter_8,0.0
2023-01-02,BreakFast,RevenueCenter_9,0.0
2023-01-02,Dinner,RevenueCenter_1,3460.0
2023-01-02,Dinner,RevenueCenter_2,398.5
2023-01-02,Dinner,RevenueCenter_3,13231.9
2023-01-02,Dinner,RevenueCenter_4,0.0
2023-01-02,Dinner,RevenueCenter_5,2958.0
2023-01-02,Dinner,RevenueCenter_6,629.5
2023-01-02,Dinner,RevenueCenter_7,0.0
2023-01-02,Dinner,RevenueCenter_8,0.0
2023-01-02,Dinner,RevenueCenter_9,0.0
2023-01-02,Lunch,RevenueCenter_1,1042.0
2023-01-02,Lunch,RevenueCenter_2,136.0
2023-01-02,Lunch,RevenueCenter_3,546.0
2023-01-02,Lunch,RevenueCenter_4,0.0
2023-01-02,Lunch,RevenueCenter_5,575.0
2023-01-02,Lunch,RevenueCenter_6,892.0
2023-01-02,Lunch,RevenueCenter_7,164.0
2023-01-02,Lunch,RevenueCenter_8,0.0
2023-01-02,Lunch,RevenueCenter_9,405.0
2023-01-03,BreakFast,RevenueCenter_1,1302.4
2023-01-03,BreakFast,RevenueCenter_2,234.0
2023-01-03,BreakFast,RevenueCenter_3,440.0
2023-01-03,BreakFast,RevenueCenter_4,0.0
2023-01-03,BreakFast,RevenueCenter_5,19108.0
2023-01-03,BreakFast,RevenueCenter_6,365.0
2023-01-03,BreakFast,RevenueCenter_7,0.0
2023-01-03,BreakFast,RevenueCenter_8,0.0
2023-01-03,BreakFast,RevenueCenter_9,190.0
2023-01-03,Dinner,RevenueCenter_1,2735.9
2023-01-03,Dinner,RevenueCenter_2,70.0
2023-01-03,Dinner,RevenueCenter_3,11712.55
2023-01-03,Dinner,RevenueCenter_4,0.0
2023-01-03,Dinner,RevenueCenter_5,3064.5
2023-01-03,Dinner,RevenueCenter_6,2.0
2023-01-03,Dinner,RevenueCenter_7,0.0
2023-01-03,Dinner,RevenueCenter_8,0.0
2023-01-03,Dinner,RevenueCenter_9,300.0
2023-01-03,Lunch,RevenueCenter_1,826.0
2023-01-03,Lunch,RevenueCenter_2,594.0
2023-01-03,Lunch,RevenueCenter_3,693.0
2023-01-03,Lunch,RevenueCenter_4,0.0
2023-01-03,Lunch,RevenueCenter_5,735.0
2023-01-03,Lunch,RevenueCenter_6,468.0
2023-01-03,Lunch,RevenueCenter_7,0.0
2023-01-03,Lunch,RevenueCenter_8,0.0
2023-01-03,Lunch,RevenueCenter_9,0.0
2023-01-04,BreakFast,RevenueCenter_1,1737.0
2023-01-04,BreakFast,RevenueCenter_2,72.0
2023-01-04,BreakFast,RevenueCenter_3,175.5
2023-01-04,BreakFast,RevenueCenter_4,0.0
2023-01-04,BreakFast,RevenueCenter_5,19607.0
2023-01-04,BreakFast,RevenueCenter_6,853.0
2023-01-04,BreakFast,RevenueCenter_7,626.0
2023-01-04,BreakFast,RevenueCenter_8,0.0
2023-01-04,BreakFast,RevenueCenter_9,0.0
2023-01-04,Dinner,RevenueCenter_1,3829.0
2023-01-04,Dinner,RevenueCenter_2,231.0
2023-01-04,Dinner,RevenueCenter_3,15118.3
2023-01-04,Dinner,RevenueCenter_4,0.0
2023-01-04,Dinner,RevenueCenter_5,2584.5
2023-01-04,Dinner,RevenueCenter_6,550.0
2023-01-04,Dinner,RevenueCenter_7,0.0
2023-01-04,Dinner,RevenueCenter_8,0.0
2023-01-04,Dinner,RevenueCenter_9,0.0
2023-01-04,Lunch,RevenueCenter_1,712.0
2023-01-04,Lunch,RevenueCenter_2,195.0
2023-01-04,Lunch,RevenueCenter_3,839.5
2023-01-04,Lunch,RevenueCenter_4,0.0
2023-01-04,Lunch,RevenueCenter_5,185.0
2023-01-04,Lunch,RevenueCenter_6,226.5
2023-01-04,Lunch,RevenueCenter_7,0.0
2023-01-04,Lunch,RevenueCenter_8,500.0
2023-01-04,Lunch,RevenueCenter_9,350.0
2023-01-05,BreakFast,RevenueCenter_1,653.0
2023-01-05,BreakFast,RevenueCenter_2,704.0
2023-01-05,BreakFast,RevenueCenter_3,0.0
2023-01-05,BreakFast,RevenueCenter_4,0.0
2023-01-05,BreakFast,RevenueCenter_5,19086.0
2023-01-05,BreakFast,RevenueCenter_6,341.0
2023-01-05,BreakFast,RevenueCenter_7,86.0
2023-01-05,BreakFast,RevenueCenter_8,0.0
2023-01-05,BreakFast,RevenueCenter_9,0.0
2023-01-05,Dinner,RevenueCenter_1,3868.0
2023-01-05,Dinner,RevenueCenter_2,139.0
2023-01-05,Dinner,RevenueCenter_3,10966.25
2023-01-05,Dinner,RevenueCenter_4,0.0
2023-01-05,Dinner,RevenueCenter_5,5348.0
2023-01-05,Dinner,RevenueCenter_6,629.75
2023-01-05,Dinner,RevenueCenter_7,0.0
2023-01-05,Dinner,RevenueCenter_8,0.0
2023-01-05,Dinner,RevenueCenter_9,0.0
2023-01-05,Lunch,RevenueCenter_1,1162.0
2023-01-05,Lunch,RevenueCenter_2,136.0
2023-01-05,Lunch,RevenueCenter_3,707.0
2023-01-05,Lunch,RevenueCenter_4,0.0
2023-01-05,Lunch,RevenueCenter_5,462.0
2023-01-05,Lunch,RevenueCenter_6,754.0
2023-01-05,Lunch,RevenueCenter_7,0.0
2023-01-05,Lunch,RevenueCenter_8,0.0
2023-01-05,Lunch,RevenueCenter_9,355.0
2023-01-06,BreakFast,RevenueCenter_1,1204.4
2023-01-06,BreakFast,RevenueCenter_2,97.0
2023-01-06,BreakFast,RevenueCenter_3,625.0
2023-01-06,BreakFast,RevenueCenter_4,0.0
2023-01-06,BreakFast,RevenueCenter_5,19867.0
2023-01-06,BreakFast,RevenueCenter_6,47.0
2023-01-06,BreakFast,RevenueCenter_7,308.0
2023-01-06,BreakFast,RevenueCenter_8,0.0
2023-01-06,BreakFast,RevenueCenter_9,0.0
2023-01-06,Dinner,RevenueCenter_1,3124.5
2023-01-06,Dinner,RevenueCenter_2,90.0
2023-01-06,Dinner,RevenueCenter_3,9824.25
2023-01-06,Dinner,RevenueCenter_4,0.0
2023-01-06,Dinner,RevenueCenter_5,21995.8
2023-01-06,Dinner,RevenueCenter_6,622.0
2023-01-06,Dinner,RevenueCenter_7,0.0
2023-01-06,Dinner,RevenueCenter_8,0.0
2023-01-06,Dinner,RevenueCenter_9,0.0
2023-01-06,Lunch,RevenueCenter_1,1285.0
2023-01-06,Lunch,RevenueCenter_2,237.0
2023-01-06,Lunch,RevenueCenter_3,1571.75
2023-01-06,Lunch,RevenueCenter_4,0.0
2023-01-06,Lunch,RevenueCenter_5,1425.0
2023-01-06,Lunch,RevenueCenter_6,1328.0
2023-01-06,Lunch,RevenueCenter_7,0.0
2023-01-06,Lunch,RevenueCenter_8,0.0
2023-01-06,Lunch,RevenueCenter_9,265.0
2023-01-07,BreakFast,RevenueCenter_1,1172.0
2023-01-07,BreakFast,RevenueCenter_2,120.0
2023-01-07,BreakFast,RevenueCenter_3,0.0
2023-01-07,BreakFast,RevenueCenter_4,0.0
2023-01-07,BreakFast,RevenueCenter_5,21957.0
2023-01-07,BreakFast,RevenueCenter_6,0.0
2023-01-07,BreakFast,RevenueCenter_7,0.0
2023-01-07,BreakFast,RevenueCenter_8,0.0
2023-01-07,BreakFast,RevenueCenter_9,0.0
2023-01-07,Dinner,RevenueCenter_1,1967.5
2023-01-07,Dinner,RevenueCenter_2,308.0
2023-01-07,Dinner,RevenueCenter_3,11145.5
2023-01-07,Dinner,RevenueCenter_4,0.0
2023-01-07,Dinner,RevenueCenter_5,2713.0
2023-01-07,Dinner,RevenueCenter_6,0.0
2023-01-07,Dinner,RevenueCenter_7,0.0
2023-01-07,Dinner,RevenueCenter_8,0.0
2023-01-07,Dinner,RevenueCenter_9,0.0
2023-01-07,Lunch,RevenueCenter_1,1111.0
2023-01-07,Lunch,RevenueCenter_2,480.0
2023-01-07,Lunch,RevenueCenter_3,1019.0
2023-01-07,Lunch,RevenueCenter_4,0.0
2023-01-07,Lunch,RevenueCenter_5,0.0
2023-01-07,Lunch,RevenueCenter_6,0.0
2023-01-07,Lunch,RevenueCenter_7,306.0
2023-01-07,Lunch,RevenueCenter_8,0.0
2023-01-07,Lunch,RevenueCenter_9,230.0
2023-01-08,BreakFast,RevenueCenter_1,1139.0
2023-01-08,BreakFast,RevenueCenter_2,254.0
2023-01-08,BreakFast,RevenueCenter_3,275.0
2023-01-08,BreakFast,RevenueCenter_4,0.0
2023-01-08,BreakFast,RevenueCenter_5,12983.0
2023-01-08,BreakFast,RevenueCenter_6,207.0
2023-01-08,BreakFast,RevenueCenter_7,0.0
2023-01-08,BreakFast,RevenueCenter_8,0.0
2023-01-08,BreakFast,RevenueCenter_9,90.0
2023-01-08,Dinner,RevenueCenter_1,2210.9
2023-01-08,Dinner,RevenueCenter_2,371.0
2023-01-08,Dinner,RevenueCenter_3,7681.5
2023-01-08,Dinner,RevenueCenter_4,0.0
2023-01-08,Dinner,RevenueCenter_5,1425.0
2023-01-08,Dinner,RevenueCenter_6,749.5
2023-01-08,Dinner,RevenueCenter_7,0.0
2023-01-08,Dinner,RevenueCenter_8,0.0
2023-01-08,Dinner,RevenueCenter_9,160.0
2023-01-08,Lunch,RevenueCenter_1,543.0
2023-01-08,Lunch,RevenueCenter_2,418.0
2023-01-08,Lunch,RevenueCenter_3,1521.0
2023-01-08,Lunch,RevenueCenter_4,0.0
2023-01-08,Lunch,RevenueCenter_5,590.0
2023-01-08,Lunch,RevenueCenter_6,403.0
2023-01-08,Lunch,RevenueCenter_7,0.0
2023-01-08,Lunch,RevenueCenter_8,0.0
2023-01-08,Lunch,RevenueCenter_9,425.0
2023-01-09,BreakFast,RevenueCenter_1,300.0
2023-01-09,BreakFast,RevenueCenter_2,218.0
2023-01-09,BreakFast,RevenueCenter_3,50.0
2023-01-09,BreakFast,RevenueCenter_4,0.0
2023-01-09,BreakFast,RevenueCenter_5,12673.0
2023-01-09,BreakFast,RevenueCenter_6,280.0
2023-01-09,BreakFast,RevenueCenter_7,0.0
2023-01-09,BreakFast,RevenueCenter_8,0.0
2023-01-09,BreakFast,RevenueCenter_9,40.0
2023-01-09,Dinner,RevenueCenter_1,2414.0
2023-01-09,Dinner,RevenueCenter_2,81.0
2023-01-09,Dinner,RevenueCenter_3,5989.0
2023-01-09,Dinner,RevenueCenter_4,0.0
2023-01-09,Dinner,RevenueCenter_5,1785.25
2023-01-09,Dinner,RevenueCenter_6,442.0
2023-01-09,Dinner,RevenueCenter_7,0.0
2023-01-09,Dinner,RevenueCenter_8,7500.0
2023-01-09,Dinner,RevenueCenter_9,115.0
2023-01-09,Lunch,RevenueCenter_1,232.0
2023-01-09,Lunch,RevenueCenter_2,157.0
2023-01-09,Lunch,RevenueCenter_3,1062.5
2023-01-09,Lunch,RevenueCenter_4,0.0
2023-01-09,Lunch,RevenueCenter_5,207.5
2023-01-09,Lunch,RevenueCenter_6,165.0
2023-01-09,Lunch,RevenueCenter_7,0.0
2023-01-09,Lunch,RevenueCenter_8,0.0
2023-01-09,Lunch,RevenueCenter_9,130.0
2023-01-10,BreakFast,RevenueCenter_1,740.0
2023-01-10,BreakFast,RevenueCenter_2,509.0
2023-01-10,BreakFast,RevenueCenter_3,570.0
2023-01-10,BreakFast,RevenueCenter_4,0.0
2023-01-10,BreakFast,RevenueCenter_5,13339.0
2023-01-10,BreakFast,RevenueCenter_6,100.0
2023-01-10,BreakFast,RevenueCenter_7,0.0
2023-01-10,BreakFast,RevenueCenter_8,0.0
2023-01-10,BreakFast,RevenueCenter_9,0.0
2023-01-10,Dinner,RevenueCenter_1,1632.5
2023-01-10,Dinner,RevenueCenter_2,282.0
2023-01-10,Dinner,RevenueCenter_3,5949.0
2023-01-10,Dinner,RevenueCenter_4,0.0
2023-01-10,Dinner,RevenueCenter_5,3809.5
2023-01-10,Dinner,RevenueCenter_6,1241.0
2023-01-10,Dinner,RevenueCenter_7,0.0
2023-01-10,Dinner,RevenueCenter_8,0.0
2023-01-10,Dinner,RevenueCenter_9,0.0
2023-01-10,Lunch,RevenueCenter_1,1139.0
2023-01-10,Lunch,RevenueCenter_2,982.5
2023-01-10,Lunch,RevenueCenter_3,566.5
