IsRamadan,n,mean,median,std,uplift_vs_base_%,Feature,RevenueCenter,IsEid,IsPreRamadan,IsPostRamadan,IsLast10Ramadan,IsDSF,IsSummerEvent,IsWorldCup,IsNationalDay,IsNewYear,IsMarathon,IsGITEX,IsFilmFestival,IsAirshow,IsArtDubai,IsFoodFestival,IsPreEvent,IsPostEvent,TourismIntensity,RevenueImpact,IslamicPeriod
0.0,1029,9.718172983479106e-05,0.0,0.0031173984319427515,41.690962099125365,IsRamadan,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,
1.0,429,0.0,0.0,0.0,-100.0,IsRamadan,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,
,1410,7.092198581560284e-05,0.0,0.002663118206456542,3.404255319148931,IsEid,RevenueCenter_4,0.0,,,,,,,,,,,,,,,,,,,
,48,0.0,0.0,0.0,-100.0,IsEid,RevenueCenter_4,1.0,,,,,,,,,,,,,,,,,,,
,1332,7.507507507507509e-05,0.0,0.0027399831217559596,9.45945945945947,IsPreRamadan,RevenueCenter_4,,0.0,,,,,,,,,,,,,,,,,,
,126,0.0,0.0,0.0,-100.0,IsPreRamadan,RevenueCenter_4,,1.0,,,,,,,,,,,,,,,,,,
,1332,7.507507507507509e-05,0.0,0.0027399831217559596,9.45945945945947,IsPostRamadan,RevenueCenter_4,,,0.0,,,,,,,,,,,,,,,,,
,126,0.0,0.0,0.0,-100.0,IsPostRamadan,RevenueCenter_4,,,1.0,,,,,,,,,,,,,,,,,
,1398,7.15307582260372e-05,0.0,0.002674523475799707,4.291845493562234,IsLast10Ramadan,RevenueCenter_4,,,,0.0,,,,,,,,,,,,,,,,
,60,0.0,0.0,0.0,-100.0,IsLast10Ramadan,RevenueCenter_4,,,,1.0,,,,,,,,,,,,,,,,
,1365,7.326007326007326e-05,0.0,0.0027066598098038387,6.8131868131868085,IsDSF,RevenueCenter_4,,,,,0.0,,,,,,,,,,,,,,,
,93,0.0,0.0,0.0,-100.0,IsDSF,RevenueCenter_4,,,,,1.0,,,,,,,,,,,,,,,
,1266,7.898894154818326e-05,0.0,0.002810497136596719,15.165876777251189,IsSummerEvent,RevenueCenter_4,,,,,,0.0,,,,,,,,,,,,,,
,192,0.0,0.0,0.0,-100.0,IsSummerEvent,RevenueCenter_4,,,,,,1.0,,,,,,,,,,,,,,
,1458,6.858710562414266e-05,0.0,0.0026189140043946253,0.0,IsWorldCup,RevenueCenter_4,,,,,,,0.0,,,,,,,,,,,,,
,1455,6.872852233676977e-05,0.0,0.0026216125254653866,0.20618556701031626,IsNationalDay,RevenueCenter_4,,,,,,,,0.0,,,,,,,,,,,,
,3,0.0,0.0,0.0,-100.0,IsNationalDay,RevenueCenter_4,,,,,,,,1.0,,,,,,,,,,,,
,1440,6.944444444444444e-05,0.0,0.0026352313834736548,1.2499999999999953,IsNewYear,RevenueCenter_4,,,,,,,,,0.0,,,,,,,,,,,
,18,0.0,0.0,0.0,-100.0,IsNewYear,RevenueCenter_4,,,,,,,,,1.0,,,,,,,,,,,
,1428,7.00280112044818e-05,0.0,0.0026462806201248204,2.100840336134462,IsMarathon,RevenueCenter_4,,,,,,,,,,0.0,,,,,,,,,,
,30,0.0,0.0,0.0,-100.0,IsMarathon,RevenueCenter_4,,,,,,,,,,1.0,,,,,,,,,,
,1419,7.047216349541931e-05,0.0,0.0026546593660094994,2.7484143763213487,IsGITEX,RevenueCenter_4,,,,,,,,,,,0.0,,,,,,,,,
,39,0.0,0.0,0.0,-100.0,IsGITEX,RevenueCenter_4,,,,,,,,,,,1.0,,,,,,,,,
,1458,6.858710562414266e-05,0.0,0.0026189140043946253,0.0,IsFilmFestival,RevenueCenter_4,,,,,,,,,,,,0.0,,,,,,,,
,1419,7.047216349541931e-05,0.0,0.0026546593660094994,2.7484143763213487,IsAirshow,RevenueCenter_4,,,,,,,,,,,,,0.0,,,,,,,
,39,0.0,0.0,0.0,-100.0,IsAirshow,RevenueCenter_4,,,,,,,,,,,,,1.0,,,,,,,
,1458,6.858710562414266e-05,0.0,0.0026189140043946253,0.0,IsArtDubai,RevenueCenter_4,,,,,,,,,,,,,,0.0,,,,,,
,1419,7.047216349541931e-05,0.0,0.0026546593660094994,2.7484143763213487,IsFoodFestival,RevenueCenter_4,,,,,,,,,,,,,,,0.0,,,,,
,39,0.0,0.0,0.0,-100.0,IsFoodFestival,RevenueCenter_4,,,,,,,,,,,,,,,1.0,,,,,
,1200,8.333333333333334e-05,0.0,0.002886751345948133,21.50000000000001,IsPreEvent,RevenueCenter_4,,,,,,,,,,,,,,,,0.0,,,,
,258,0.0,0.0,0.0,-100.0,IsPreEvent,RevenueCenter_4,,,,,,,,,,,,,,,,1.0,,,,
,1242,8.051529790660226e-05,0.0,0.002837521769195833,17.391304347826086,IsPostEvent,RevenueCenter_4,,,,,,,,,,,,,,,,,0.0,,,
,216,0.0,0.0,0.0,-100.0,IsPostEvent,RevenueCenter_4,,,,,,,,,,,,,,,,,1.0,,,
,981,0.00010193679918450561,0.0,0.0031927542840705083,48.62385321100917,TourismIntensity,RevenueCenter_4,,,,,,,,,,,,,,,,,,Normal,,
,99,0.0,0.0,0.0,-100.0,TourismIntensity,RevenueCenter_4,,,,,,,,,,,,,,,,,,High,,
,177,0.0,0.0,0.0,-100.0,TourismIntensity,RevenueCenter_4,,,,,,,,,,,,,,,,,,Low,,
,201,0.0,0.0,0.0,-100.0,TourismIntensity,RevenueCenter_4,,,,,,,,,,,,,,,,,,Medium,,
,1272,7.861635220125787e-05,0.0,0.002803860770460227,14.62264150943397,RevenueImpact,RevenueCenter_4,,,,,,,,,,,,,,,,,,,Neutral,
,57,0.0,0.0,0.0,-100.0,RevenueImpact,RevenueCenter_4,,,,,,,,,,,,,,,,,,,Boost,
,129,0.0,0.0,0.0,-100.0,RevenueImpact,RevenueCenter_4,,,,,,,,,,,,,,,,,,,Decrease,
,507,0.00019723865877712034,0.0,0.004441155916843275,187.57396449704143,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Normal
,15,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Dubai-Airshow
,6,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-Commemoration-Day
,42,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-DSF
,15,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Airshow
,18,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Food-Festival
,12,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Marathon
,15,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-Eid-Adha
,6,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-Flag-Day
,42,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Post-Ramadan-Week1
,15,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-GITEX-Technology-Week
,84,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Early
,42,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Late
,3,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Pre-UAE-National-Day
,60,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Ramadan-First10Days
,60,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Ramadan-Last10Days
,21,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Post-Summer-Event
,84,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Post-Ramadan-Recovery
,21,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Dubai-Food-Festival
,12,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Post-New-Year-Celebrations
,9,0.0,0.0,0.0,-100.0,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Post-GITEX-Technology-Week
