IsRamadan,n,mean,median,std,uplift_vs_base_%,Feature,RevenueCenter,IsEid,IsPreRamadan,IsPostRamadan,IsLast10Ramadan,IsDSF,IsSummerEvent,IsWorldCup,IsNationalDay,IsNewYear,IsMarathon,IsGITEX,IsFilmFestival,IsAirshow,IsArtDubai,IsFoodFestival,IsPreEvent,IsPostEvent,TourismIntensity,RevenueImpact,IslamicPeriod
,3,26750.0,30250.0,15303.185942802891,299.7459968131219,IslamicPeriod,RevenueCenter_8,,,,,,,,,,,,,,,,,,,,Flag-Day
,84,1693.9238095238095,411.0,7203.762411622204,255.7275170179409,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Early
,126,1526.6000000000001,385.5,6277.254259323897,220.58916961102878,IsPreRamadan,RevenueCenter_6,,1.0,,,,,,,,,,,,,,,,,,
,507,0.00019723865877712034,0.0,0.004441155916843275,187.57396449704143,IslamicPeriod,RevenueCenter_4,,,,,,,,,,,,,,,,,,,,Normal
,12,125.66666666666667,40.0,143.84039977023355,182.28823221273842,IslamicPeriod,RevenueCenter_7,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Marathon
,18,1300.138888888889,263.5,4124.791758756383,173.03186608665956,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Food-Festival
,3,1205.1666666666667,1026.0,472.9282010340823,153.0875022334326,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-UAE-National-Day
,3,1205.1666666666667,1026.0,472.9282010340823,153.0875022334326,IsNationalDay,RevenueCenter_6,,,,,,,,1.0,,,,,,,,,,,,
,42,1191.952380952381,307.0,3861.0525906070247,150.31247479720454,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Late
,18,1132.6944444444443,347.75,2427.6637410026715,149.53026523661768,IslamicPeriod,RevenueCenter_2,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Food-Festival
,42,15838.095238095239,925.0,29454.86147609719,136.6809408812539,IslamicPeriod,RevenueCenter_8,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Late
,15,1115.5666666666666,454.0,2531.7875592628416,134.271316200976,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Dubai-Airshow
,258,1096.459496124031,307.0,4717.431307997812,130.2587707156623,IsPreEvent,RevenueCenter_6,,,,,,,,,,,,,,,,1.0,,,,
,126,14870.039682539682,0.0,27916.48995483516,122.21453590831794,IsPreRamadan,RevenueCenter_8,,1.0,,,,,,,,,,,,,,,,,,
,6,98.66666666666667,11.0,153.81894118302424,121.63744492034635,IslamicPeriod,RevenueCenter_7,,,,,,,,,,,,,,,,,,,,New-Year-Celebrations
,84,14386.011904761905,0.0,27283.897605401344,114.98133342184997,IslamicPeriod,RevenueCenter_8,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Early
,12,2996.133333333333,1431.7,3290.6223126093378,103.39964640731662,IslamicPeriod,RevenueCenter_1,,,,,,,,,,,,,,,,,,,,Post-New-Year-Celebrations
,18,2975.0722222222225,1436.7,3063.091105173787,101.96986272403201,IsNewYear,RevenueCenter_1,,,,,,,,,1.0,,,,,,,,,,,
,42,949.4464285714286,348.0,3236.0453854032044,99.38572129298522,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,Pre-DSF
,6,2932.9500000000003,1436.7,2841.7193821698866,99.11029535746275,IslamicPeriod,RevenueCenter_1,,,,,,,,,,,,,,,,,,,,New-Year-Celebrations
,6,13276.666666666666,8090.0,15911.502338455242,98.4035271410174,IslamicPeriod,RevenueCenter_8,,,,,,,,,,,,,,,,,,,,Pre-Flag-Day
,30,87.6,0.0,123.37819625178848,96.77810988198316,IsMarathon,RevenueCenter_7,,,,,,,,,,1.0,,,,,,,,,,
,6,910.8333333333334,922.0,667.9019139564332,91.2768911223495,IslamicPeriod,RevenueCenter_6,,,,,,,,,,,,,,,,,,,,New-Year-Celebrations
,39,891.7564102564103,349.0,2799.6989778785396,87.2706976676369,IsFoodFestival,RevenueCenter_6,,,,,,,,,,,,,,,1.0,,,,,
,42,242.61904761904762,140.0,329.11788623982943,84.27723037537581,IslamicPeriod,RevenueCenter_9,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Late
,42,7897.6654761904765,2265.0,14234.066564225968,75.17488352399502,IslamicPeriod,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Late
,39,767.7307692307693,353.0,1674.33474945689,69.12951539232385,IsFoodFestival,RevenueCenter_2,,,,,,,,,,,,,,,1.0,,,,,
,42,750.4642857142857,552.0,695.7415888456557,65.3257444524169,IslamicPeriod,RevenueCenter_2,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Late
,12,2428.766666666667,1626.25,1838.493628605833,64.88260909812995,IslamicPeriod,RevenueCenter_1,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Marathon
,126,7368.9440476190475,2113.0,11249.270837613622,63.44753004898863,IsPreRamadan,RevenueCenter_3,,1.0,,,,,,,,,,,,,,,,,,
,12,14019.883333333333,14773.6,11529.117665035881,60.80697335784212,IslamicPeriod,RevenueCenter_5,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Marathon
,258,10757.257751937985,0.0,21622.52489072984,60.75404572052834,IsPreEvent,RevenueCenter_8,,,,,,,,,,,,,,,,1.0,,,,
,9,720.8333333333334,365.0,1253.9375981283918,58.798106356284904,IslamicPeriod,RevenueCenter_2,,,,,,,,,,,,,,,,,,,,Post-Dubai-Airshow
,6,70.66666666666667,0.0,119.5636511096356,58.740332172680496,IslamicPeriod,RevenueCenter_7,,,,,,,,,,,,,,,,,,,,Dubai-Marathon
,84,7104.583333333333,2113.0,9501.867722622372,57.58385331148544,IslamicPeriod,RevenueCenter_3,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Early
,126,207.4404761904762,102.5,279.92042874461924,57.55793617717977,IsPreRamadan,RevenueCenter_9,,1.0,,,,,,,,,,,,,,,,,,
,6,10504.166666666666,0.0,16397.381015475203,56.97190934047981,IslamicPeriod,RevenueCenter_8,,,,,,,,,,,,,,,,,,,,Post-Flag-Day
,15,10292.0,0.0,17343.28048141824,53.80133828787481,IslamicPeriod,RevenueCenter_8,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Airshow
,6,2262.9500000000003,1692.4,2071.993901294113,53.625749801111624,IslamicPeriod,RevenueCenter_1,,,,,,,,,,,,,,,,,,,,Dubai-Marathon
,12,684.125,476.5,709.2284580315558,50.711335737794315,IslamicPeriod,RevenueCenter_2,,,,,,,,,,,,,,,,,,,,Post-Dubai-Marathon
,84,67.0,32.0,86.58473111727379,50.503805503343294,IslamicPeriod,RevenueCenter_7,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Early
,39,710.9615384615385,320.0,1634.6467040819527,49.30339921444001,IsAirshow,RevenueCenter_6,,,,,,,,,,,,,1.0,,,,,,,
